grupo,idioma,ruta_zip,ruta_local_auditada,bytes,lineas,sha256,html_lang,canonical,leido_completo
SCOOTER,nl,SCOOTER-main (1)(1)/SCOOTER-main/nl/scooter/index.html,/workspace/scratch/c622681b5d26/audit_work/source/SCOOTER/nl/index.html,75095,1286,eaf1e1b9f6e74877bc28df54efc714b3a725bd371785bb52cf348f78aad44a19,nl,https://rentalscooterbarcelona.com/nl/scooter/,"{""bytes_read"":75095,""characters"":74886,""sha256"":""eaf1e1b9f6e74877bc28df54efc714b3a725bd371785bb52cf348f78aad44a19"",""htmlparser_fed_all"":true,""lxml_parsed_all"":true}"
SCOOTER,pt,SCOOTER-main (1)(1)/SCOOTER-main/pt/scooter/index.html,/workspace/scratch/c622681b5d26/audit_work/source/SCOOTER/pt/index.html,75293,1245,ad10a7e9c9d69229f63d4564981ea4b69d5f6296bca00b6c4107c8e87abaf75d,pt-PT,https://rentalscooterbarcelona.com/pt/scooter/,"{""bytes_read"":75293,""characters"":74798,""sha256"":""ad10a7e9c9d69229f63d4564981ea4b69d5f6296bca00b6c4107c8e87abaf75d"",""htmlparser_fed_all"":true,""lxml_parsed_all"":true}"
SCOOTER,ca,SCOOTER-main (1)(1)/SCOOTER-main/cat/scooter/index.html,/workspace/scratch/c622681b5d26/audit_work/source/SCOOTER/ca/index.html,74424,1217,6c34ccbc7467b1dd8a04056a9c987207841b8d6f3070afe5d922b12ffede4818,ca,https://rentalscooterbarcelona.com/cat/scooter/,"{""bytes_read"":74424,""characters"":73947,""sha256"":""6c34ccbc7467b1dd8a04056a9c987207841b8d6f3070afe5d922b12ffede4818"",""htmlparser_fed_all"":true,""lxml_parsed_all"":true}"
SCOOTER,sv,SCOOTER-main (1)(1)/SCOOTER-main/sv/scooter/index.html,/workspace/scratch/c622681b5d26/audit_work/source/SCOOTER/sv/index.html,73474,1227,4ac68d839ec026bfeb5bc65a5b93b752e6e9287f7b93f46a5d299e8042fa583e,sv,https://rentalscooterbarcelona.com/sv/scooter/,"{""bytes_read"":73474,""characters"":72841,""sha256"":""4ac68d839ec026bfeb5bc65a5b93b752e6e9287f7b93f46a5d299e8042fa583e"",""htmlparser_fed_all"":true,""lxml_parsed_all"":true}"
SCOOTER,pl,SCOOTER-main (1)(1)/SCOOTER-main/pl/scooter/index.html,/workspace/scratch/c622681b5d26/audit_work/source/SCOOTER/pl/index.html,75144,1281,dd54d7f4dcbcdd94019d25d453fd312e8373ca2f977a0effb1a8f046414aba60,pl,https://rentalscooterbarcelona.com/pl/scooter/,"{""bytes_read"":75144,""characters"":74420,""sha256"":""dd54d7f4dcbcdd94019d25d453fd312e8373ca2f977a0effb1a8f046414aba60"",""htmlparser_fed_all"":true,""lxml_parsed_all"":true}"
ROLLERBLADES,en,RSB_05_ROLLERBLADES_CORREGIDO_GUIAS_FINAL(1)(4)/RSB_05_ROLLERBLADES_CORREGIDO_GUIAS_FINAL(1)/rollerblades/index.html,/workspace/scratch/c622681b5d26/audit_work/source/ROLLERBLADES/en/index.html,81051,1262,30d4b5e4ff9ccf991797b90fe96cf02bb097dacd12b27f6935107b5ec1969712,en,https://rentalscooterbarcelona.com/rollerblades/,"{""bytes_read"":81051,""characters"":80844,""sha256"":""30d4b5e4ff9ccf991797b90fe96cf02bb097dacd12b27f6935107b5ec1969712"",""htmlparser_fed_all"":true,""lxml_parsed_all"":true}"
ROLLERBLADES,es,RSB_05_ROLLERBLADES_CORREGIDO_GUIAS_FINAL(1)(4)/RSB_05_ROLLERBLADES_CORREGIDO_GUIAS_FINAL(1)/es/rollerblades/index.html,/workspace/scratch/c622681b5d26/audit_work/source/ROLLERBLADES/es/index.html,83367,1224,99a9f801f010db7933139933db6d0d964c5452d9f821b32920379de9d9bba9c6,es,https://rentalscooterbarcelona.com/es/rollerblades/,"{""bytes_read"":83367,""characters"":82889,""sha256"":""99a9f801f010db7933139933db6d0d964c5452d9f821b32920379de9d9bba9c6"",""htmlparser_fed_all"":true,""lxml_parsed_all"":true}"
ROLLERBLADES,fr,RSB_05_ROLLERBLADES_CORREGIDO_GUIAS_FINAL(1)(4)/RSB_05_ROLLERBLADES_CORREGIDO_GUIAS_FINAL(1)/fr/rollerblades/index.html,/workspace/scratch/c622681b5d26/audit_work/source/ROLLERBLADES/fr/index.html,82619,1163,b1704ca4ab31ef0d6e82dd75bd6944af955526e8073cb1ff2bb222402d04f049,fr,https://rentalscooterbarcelona.com/fr/rollerblades/,"{""bytes_read"":82619,""characters"":81911,""sha256"":""b1704ca4ab31ef0d6e82dd75bd6944af955526e8073cb1ff2bb222402d04f049"",""htmlparser_fed_all"":true,""lxml_parsed_all"":true}"
ROLLERBLADES,it,RSB_05_ROLLERBLADES_CORREGIDO_GUIAS_FINAL(1)(4)/RSB_05_ROLLERBLADES_CORREGIDO_GUIAS_FINAL(1)/it/rollerblades/index.html,/workspace/scratch/c622681b5d26/audit_work/source/ROLLERBLADES/it/index.html,81984,1173,7a6bc18d71f4207cbdd88c9f8660b2d933e707093b89ab5fc836f095b1d66c13,it,https://rentalscooterbarcelona.com/it/rollerblades/,"{""bytes_read"":81984,""characters"":81705,""sha256"":""7a6bc18d71f4207cbdd88c9f8660b2d933e707093b89ab5fc836f095b1d66c13"",""htmlparser_fed_all"":true,""lxml_parsed_all"":true}"
ROLLERBLADES,de,RSB_05_ROLLERBLADES_CORREGIDO_GUIAS_FINAL(1)(4)/RSB_05_ROLLERBLADES_CORREGIDO_GUIAS_FINAL(1)/de/rollerblades/index.html,/workspace/scratch/c622681b5d26/audit_work/source/ROLLERBLADES/de/index.html,82382,1217,ed926e09d62c8cd160f39344866ddad51b9d46b70866d691f5ef8140a522fc8d,de,https://rentalscooterbarcelona.com/de/rollerblades/,"{""bytes_read"":82382,""characters"":81923,""sha256"":""ed926e09d62c8cd160f39344866ddad51b9d46b70866d691f5ef8140a522fc8d"",""htmlparser_fed_all"":true,""lxml_parsed_all"":true}"
ROLLERBLADES,nl,RSB_05_ROLLERBLADES_CORREGIDO_GUIAS_FINAL(1)(4)/RSB_05_ROLLERBLADES_CORREGIDO_GUIAS_FINAL(1)/nl/rollerblades/index.html,/workspace/scratch/c622681b5d26/audit_work/source/ROLLERBLADES/nl/index.html,81229,1229,0f78e231283e4d2f33a570e56af190109b5ea12bab85e5f50019ed43a3d4fa6b,nl,https://rentalscooterbarcelona.com/nl/rollerblades/,"{""bytes_read"":81229,""characters"":81024,""sha256"":""0f78e231283e4d2f33a570e56af190109b5ea12bab85e5f50019ed43a3d4fa6b"",""htmlparser_fed_all"":true,""lxml_parsed_all"":true}"
ROLLERBLADES,pt,RSB_05_ROLLERBLADES_CORREGIDO_GUIAS_FINAL(1)(4)/RSB_05_ROLLERBLADES_CORREGIDO_GUIAS_FINAL(1)/pt/rollerblades/index.html,/workspace/scratch/c622681b5d26/audit_work/source/ROLLERBLADES/pt/index.html,82678,1221,eb82c60bdca4364f0f763e4a5a909b76dc6e7b241a1955a400c4f036637fa0bc,pt-PT,https://rentalscooterbarcelona.com/pt/rollerblades/,"{""bytes_read"":82678,""characters"":82103,""sha256"":""eb82c60bdca4364f0f763e4a5a909b76dc6e7b241a1955a400c4f036637fa0bc"",""htmlparser_fed_all"":true,""lxml_parsed_all"":true}"
ROLLERBLADES,ca,RSB_05_ROLLERBLADES_CORREGIDO_GUIAS_FINAL(1)(4)/RSB_05_ROLLERBLADES_CORREGIDO_GUIAS_FINAL(1)/cat/rollerblades/index.html,/workspace/scratch/c622681b5d26/audit_work/source/ROLLERBLADES/ca/index.html,82206,1208,c7bcd02ce33220fb8e2654fc43f4a4aa5f6ed70b284bcc1de18b73f18230b9b1,ca,https://rentalscooterbarcelona.com/cat/rollerblades/,"{""bytes_read"":82206,""characters"":81666,""sha256"":""c7bcd02ce33220fb8e2654fc43f4a4aa5f6ed70b284bcc1de18b73f18230b9b1"",""htmlparser_fed_all"":true,""lxml_parsed_all"":true}"
ROLLERBLADES,sv,RSB_05_ROLLERBLADES_CORREGIDO_GUIAS_FINAL(1)(4)/RSB_05_ROLLERBLADES_CORREGIDO_GUIAS_FINAL(1)/sv/rollerblades/index.html,/workspace/scratch/c622681b5d26/audit_work/source/ROLLERBLADES/sv/index.html,80332,1215,2a872eafda34f391375c57ac9d8bdfa076cc013513cc93fa2eafdcc472307cad,sv,https://rentalscooterbarcelona.com/sv/rollerblades/,"{""bytes_read"":80332,""characters"":79656,""sha256"":""2a872eafda34f391375c57ac9d8bdfa076cc013513cc93fa2eafdcc472307cad"",""htmlparser_fed_all"":true,""lxml_parsed_all"":true}"
ROLLERBLADES,pl,RSB_05_ROLLERBLADES_CORREGIDO_GUIAS_FINAL(1)(4)/RSB_05_ROLLERBLADES_CORREGIDO_GUIAS_FINAL(1)/pl/rollerblades/index.html,/workspace/scratch/c622681b5d26/audit_work/source/ROLLERBLADES/pl/index.html,81315,1261,d44cfa107631f4c3cc1c9f0386f474672db2420a6eab46bdfffe96e1ccdd868a,pl,https://rentalscooterbarcelona.com/pl/rollerblades/,"{""bytes_read"":81315,""characters"":80533,""sha256"":""d44cfa107631f4c3cc1c9f0386f474672db2420a6eab46bdfffe96e1ccdd868a"",""htmlparser_fed_all"":true,""lxml_parsed_all"":true}"
