grupo,idioma,linea,etiqueta,href_literal,url_absoluta,texto,idioma_destino,categoria_destino,destino_en_alcance,fragmento_local_resuelto,atributos_y_contexto
ROLLERBLADES,es,1176,a,https://rentalscooterbarcelona.com/es/quads/,https://rentalscooterbarcelona.com/es/quads/,Alquiler de roller skates en Barcelona,es,quads,NO,AUSENTE,"{""tag"":""a"",""line"":1176,""class"":""footer-link"",""href"":""https://rentalscooterbarcelona.com/es/quads/"",""raw_href"":""https://rentalscooterbarcelona.com/es/quads/"",""absolute_url"":""https://rentalscooterbarcelona.com/es/quads/"",""text"":""Alquiler de roller skates en Barcelona"",""accessible_name_static"":""Alquiler de roller skates en Barcelona"",""internal"":true,""ancestors"":[{""tag"":""footer"",""id"":null,""class"":""footer""}],""destination_language"":""es"",""destination_category"":""quads"",""same_page_fragment_exists"":null,""destination_in_scope"":false}"
ROLLERBLADES,es,1177,a,https://rentalscooterbarcelona.com/es/skateboard/,https://rentalscooterbarcelona.com/es/skateboard/,Alquiler de skateboard en Barcelona,es,skateboard,NO,AUSENTE,"{""tag"":""a"",""line"":1177,""class"":""footer-link"",""href"":""https://rentalscooterbarcelona.com/es/skateboard/"",""raw_href"":""https://rentalscooterbarcelona.com/es/skateboard/"",""absolute_url"":""https://rentalscooterbarcelona.com/es/skateboard/"",""text"":""Alquiler de skateboard en Barcelona"",""accessible_name_static"":""Alquiler de skateboard en Barcelona"",""internal"":true,""ancestors"":[{""tag"":""footer"",""id"":null,""class"":""footer""}],""destination_language"":""es"",""destination_category"":""skateboard"",""same_page_fragment_exists"":null,""destination_in_scope"":false}"
ROLLERBLADES,es,1178,a,https://rentalscooterbarcelona.com/es/longboard/,https://rentalscooterbarcelona.com/es/longboard/,Alquiler de longboard en Barcelona,es,longboard,NO,AUSENTE,"{""tag"":""a"",""line"":1178,""class"":""footer-link"",""href"":""https://rentalscooterbarcelona.com/es/longboard/"",""raw_href"":""https://rentalscooterbarcelona.com/es/longboard/"",""absolute_url"":""https://rentalscooterbarcelona.com/es/longboard/"",""text"":""Alquiler de longboard en Barcelona"",""accessible_name_static"":""Alquiler de longboard en Barcelona"",""internal"":true,""ancestors"":[{""tag"":""footer"",""id"":null,""class"":""footer""}],""destination_language"":""es"",""destination_category"":""longboard"",""same_page_fragment_exists"":null,""destination_in_scope"":false}"
ROLLERBLADES,fr,6,link,/site.webmanifest,https://rentalscooterbarcelona.com/site.webmanifest,,en,site.webmanifest,NO,AUSENTE,"{""tag"":""link"",""line"":6,""rel"":""manifest"",""href"":""/site.webmanifest"",""raw_href"":""/site.webmanifest"",""absolute_url"":""https://rentalscooterbarcelona.com/site.webmanifest"",""text"":"""",""accessible_name_static"":null,""internal"":true,""ancestors"":[],""destination_language"":""en"",""destination_category"":""site.webmanifest"",""same_page_fragment_exists"":null,""destination_in_scope"":false}"
ROLLERBLADES,fr,13,link,https://rentalscooterbarcelona.com/fr/rollerblades/,https://rentalscooterbarcelona.com/fr/rollerblades/,,fr,rollerblades,SÍ,AUSENTE,"{""tag"":""link"",""line"":13,""href"":""https://rentalscooterbarcelona.com/fr/rollerblades/"",""rel"":""canonical"",""raw_href"":""https://rentalscooterbarcelona.com/fr/rollerblades/"",""absolute_url"":""https://rentalscooterbarcelona.com/fr/rollerblades/"",""text"":"""",""accessible_name_static"":null,""internal"":true,""ancestors"":[],""destination_language"":""fr"",""destination_category"":""rollerblades"",""same_page_fragment_exists"":null,""destination_in_scope"":true}"
ROLLERBLADES,fr,13,link,https://rentalscooterbarcelona.com/rollerblades/,https://rentalscooterbarcelona.com/rollerblades/,,en,rollerblades,SÍ,AUSENTE,"{""tag"":""link"",""line"":13,""href"":""https://rentalscooterbarcelona.com/rollerblades/"",""hreflang"":""x-default"",""rel"":""alternate"",""raw_href"":""https://rentalscooterbarcelona.com/rollerblades/"",""absolute_url"":""https://rentalscooterbarcelona.com/rollerblades/"",""text"":"""",""accessible_name_static"":null,""internal"":true,""ancestors"":[],""destination_language"":""en"",""destination_category"":""rollerblades"",""same_page_fragment_exists"":null,""destination_in_scope"":true}"
ROLLERBLADES,fr,13,link,https://rentalscooterbarcelona.com/rollerblades/,https://rentalscooterbarcelona.com/rollerblades/,,en,rollerblades,SÍ,AUSENTE,"{""tag"":""link"",""line"":13,""href"":""https://rentalscooterbarcelona.com/rollerblades/"",""hreflang"":""en"",""rel"":""alternate"",""raw_href"":""https://rentalscooterbarcelona.com/rollerblades/"",""absolute_url"":""https://rentalscooterbarcelona.com/rollerblades/"",""text"":"""",""accessible_name_static"":null,""internal"":true,""ancestors"":[],""destination_language"":""en"",""destination_category"":""rollerblades"",""same_page_fragment_exists"":null,""destination_in_scope"":true}"
ROLLERBLADES,fr,13,link,https://rentalscooterbarcelona.com/es/rollerblades/,https://rentalscooterbarcelona.com/es/rollerblades/,,es,rollerblades,SÍ,AUSENTE,"{""tag"":""link"",""line"":13,""href"":""https://rentalscooterbarcelona.com/es/rollerblades/"",""hreflang"":""es"",""rel"":""alternate"",""raw_href"":""https://rentalscooterbarcelona.com/es/rollerblades/"",""absolute_url"":""https://rentalscooterbarcelona.com/es/rollerblades/"",""text"":"""",""accessible_name_static"":null,""internal"":true,""ancestors"":[],""destination_language"":""es"",""destination_category"":""rollerblades"",""same_page_fragment_exists"":null,""destination_in_scope"":true}"
ROLLERBLADES,fr,13,link,https://rentalscooterbarcelona.com/fr/rollerblades/,https://rentalscooterbarcelona.com/fr/rollerblades/,,fr,rollerblades,SÍ,AUSENTE,"{""tag"":""link"",""line"":13,""href"":""https://rentalscooterbarcelona.com/fr/rollerblades/"",""hreflang"":""fr"",""rel"":""alternate"",""raw_href"":""https://rentalscooterbarcelona.com/fr/rollerblades/"",""absolute_url"":""https://rentalscooterbarcelona.com/fr/rollerblades/"",""text"":"""",""accessible_name_static"":null,""internal"":true,""ancestors"":[],""destination_language"":""fr"",""destination_category"":""rollerblades"",""same_page_fragment_exists"":null,""destination_in_scope"":true}"
ROLLERBLADES,fr,13,link,https://rentalscooterbarcelona.com/it/rollerblades/,https://rentalscooterbarcelona.com/it/rollerblades/,,it,rollerblades,SÍ,AUSENTE,"{""tag"":""link"",""line"":13,""href"":""https://rentalscooterbarcelona.com/it/rollerblades/"",""hreflang"":""it"",""rel"":""alternate"",""raw_href"":""https://rentalscooterbarcelona.com/it/rollerblades/"",""absolute_url"":""https://rentalscooterbarcelona.com/it/rollerblades/"",""text"":"""",""accessible_name_static"":null,""internal"":true,""ancestors"":[],""destination_language"":""it"",""destination_category"":""rollerblades"",""same_page_fragment_exists"":null,""destination_in_scope"":true}"
